City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
15-0350-001,9/11/2015,F,12/9/2015,Fire Battalion 2,Fire/EMS Operations,Fire Misc,"5,928.94",0.00,0.00
15-0353-001,7/19/2015,F,11/19/2018,Fire Battalion 4,Fire Apparatus,Collide with Pedestrian,"207,500.00","25,000.00",0.00
15-0357-001,10/13/2015,F,12/10/2015,Street- Southwest Maint Dist,Operations,Pot Hole,375.00,0.00,300.00
15-0360-001,7/16/2015,F,10/23/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,782.84,0.00,0.00
15-0363-001,9/18/2015,F,10/28/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Falling Load/Rock,220.00,0.00,0.00
15-0364-001,10/21/2015,F,1/11/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"3,303.00",0.00,"2,539.00"
15-0365-001,10/19/2015,F,12/1/2015,Fire-Fire Prevention/Resource Mgt/Haz Ma,Light Truck,Main/Vehicle/Int,"2,703.82",0.00,"2,703.82"
15-0369-001,9/27/2015,F,1/25/2016,Aviation- Sky Harbor Airport/Terminals,Operations,"Care, Custody, Control",987.14,0.00,0.00
15-0370-001,9/10/2015,F,11/17/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"1,000.00",0.00,0.00
15-0371-001,10/6/2015,F,11/10/2015,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"2,400.00",0.00,"2,340.47"
15-0372-001,9/8/2015,F,11/2/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,441.00,0.00,441.11
15-0373-001,7/26/2015,F,12/10/2015,Fire Battalion 1,Fire Apparatus,Lane Change/Pass,"2,371.40",0.00,"2,371.40"
15-0374-001,9/14/2015,F,11/25/2015,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,Overhanging Tree,275.00,0.00,0.00
15-0375-001,10/25/2015,F,2/8/2016,Water Distrib - Corona Yard,Operations,Water Main Break,,0.00,0.00
15-0377-001,10/1/2015,F,10/29/2015,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,150.00,0.00,150.00
15-0378-001,10/13/2015,F,12/14/2015,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Backing,"2,226.28",0.00,"1,171.74"
15-0379-001,8/20/2015,F,12/15/2015,Police- Cactus Park Precinct 900,Police Vehicle,Failure to Yield,"6,500.00",0.00,"3,000.66"
15-0380-001,8/23/2015,F,12/17/2015,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"6,466.67",0.00,"6,466.67"
15-0384-001,8/26/2015,F,6/5/2017,Police- Cactus Park Precinct 900,Police Vehicle,Turning,"14,812.31",0.00,0.00
15-0384-002,8/26/2015,F,12/21/2015,Police- Cactus Park Precinct 900,Police Vehicle,Turning,265.00,0.00,0.00
15-0387-001,10/8/2015,F,11/4/2015,Non-City Claim,Non-City,Non-City Claim,"75,000,000.00",0.00,0.00
15-0388-001,9/29/2015,F,11/4/2015,Non-City Claim,Non-City,Non-City Claim,"45,000,000.00",0.00,0.00
15-0389-001,10/1/2015,F,11/19/2015,Parks- South Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",571.46,0.00,503.24
15-0390-001,9/14/2015,F,1/21/2016,Street- Central Maintenance Dist,Operations,Negligent Design,689.27,0.00,0.00
15-0395-001,10/20/2015,F,12/8/2015,Street- Southwest Maint Dist,Operations,Pot Hole,654.74,0.00,0.00
15-0398-001,10/23/2015,F,12/8/2015,Street- Southwest Maint Dist,Operations,Pot Hole,284.84,0.00,0.00
15-0399-001,10/12/2015,F,11/18/2015,Street- Design and Construction Mgt,Operations,Construction Area,300.00,0.00,0.00
15-0401-001,9/6/2015,F,2/19/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Backing,"2,492.29",0.00,"2,044.90"
15-0402-001,9/14/2015,F,2/8/2016,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Law Enforcement,Forced Entry,"2,601.32",0.00,0.00
15-0404-001,10/20/2015,F,6/8/2017,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,"1,250.00",0.00,850.00
15-0405-001,10/22/2015,F,12/22/2015,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,"2,090.50",0.00,"1,507.89"
15-0406-001,7/16/2015,F,2/8/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Blue Stake Error,"6,692.14",0.00,"6,039.87"
15-0407-001,9/17/2015,F,11/19/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Backing,400.00,0.00,310.00
15-0408-001,8/24/2015,F,11/23/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"1,300.00",0.00,0.00
15-0415-001,7/13/2015,F,12/2/2015,Street- Central Maintenance Dist,Operations,"Care, Custody, Control","6,500.00",0.00,0.00
15-0416-001,10/1/2015,F,7/28/2016,Police-TechSvcs/Rec-ID/Lab/Com911/Prop M,Law Enforcement,"Care, Custody, Control","13,000.00",0.00,0.00
15-0417-001,10/26/2015,F,11/13/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,797.25,0.00,797.25
15-0421-001,10/22/2015,F,2/9/2016,Street- North Maint Dist,Operations,Excavation Related,,0.00,0.00
15-0422-001,10/22/2015,F,11/17/2015,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,"1,250.00",0.00,0.00
15-0425-001,7/17/2015,F,5/9/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"3,000.00",0.00,0.00
15-0430-001,11/6/2015,F,11/13/2015,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,768.61",0.00,0.00
15-0431-001,10/21/2015,F,12/1/2015,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Backing,"1,884.83",0.00,"1,884.83"
15-0432-001,11/13/2015,F,12/22/2015,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,,0.00,995.53
15-0432-002,11/13/2015,F,12/9/2015,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,,0.00,0.00
15-0432-003,11/13/2015,F,12/22/2015,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,"3,000.00",0.00,"2,439.90"
15-0433-001,10/19/2015,F,11/17/2015,Non-City Claim,Operations,Pot Hole,175.00,0.00,0.00
15-0435-001,11/16/2015,F,2/2/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"3,250.00",0.00,"2,549.48"
15-0439-001,11/5/2015,F,12/17/2015,Fire Battalion 1,Fire Apparatus,Struck Fixed Object,837.93,0.00,827.98
15-0440-001,10/31/2015,F,1/7/2016,Fire Battalion 6,Fire/EMS Operations,Forced Entry,,0.00,0.00
15-0441-001,10/29/2015,F,1/5/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,200.00,0.00,200.00
15-0444-001,9/1/2015,F,12/2/2015,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,91.00,0.00,0.00
15-0444-003,9/1/2015,F,5/14/2018,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"750,000.00","62,500.00",0.00
15-0446-001,10/21/2015,F,12/3/2015,NSD- Neighborhood Revitalization,Operations,Tar/Paint/Oil,,0.00,0.00
15-0447-001,7/6/2015,F,3/4/2016,Police- S. Mountain Precinct 400,Police Vehicle,Failure to Yield,"73,114.73","12,000.00",0.00
15-0449-001,11/16/2015,F,12/8/2015,Street- Southwest Maint Dist,Operations,Construction Area,"1,078.34",0.00,0.00
15-0450-001,11/15/2015,F,12/31/2015,Street- Southeast Maint Dist,Operations,Pot Hole,"3,000.00",0.00,750.00
15-0451-001,9/4/2015,F,12/21/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"1,129.24",0.00,0.00
15-0452-001,10/22/2015,F,12/15/2015,Street- Southwest Maint Dist,Operations,Pot Hole,"1,164.00",0.00,0.00
15-0455-001,11/18/2015,F,11/23/2015,Unknown Dept/Temporary Use Only,Other,Other,"309,000.00",0.00,0.00
15-0456-001,11/6/2015,F,12/15/2015,Street- Southwest Maint Dist,Operations,Pot Hole,27.29,0.00,27.29
15-0457-001,11/16/2015,F,12/4/2015,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,379.05,0.00,379.05
15-0458-001,10/30/2015,F,1/11/2016,Police- Squaw Peak Precinct 700,Law Enforcement,"Care, Custody, Control",10.00,0.00,10.00
15-0460-001,9/19/2015,F,3/4/2016,Fire Battalion 1,Fire/EMS Operations,Damage to Property/Injury to Persons,738.78,0.00,738.78
15-0461-001,10/9/2015,F,1/26/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,,0.00,0.00
15-0462-001,11/23/2015,F,2/9/2016,Planning-Residntl Plan Rev/Inspection-New/Remodl/Addtn,Professional E&O,Negligent Plan Approval,900.00,0.00,0.00
15-0463-001,11/6/2015,F,3/4/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"4,623.28",0.00,"4,391.19"
15-0464-001,11/20/2015,F,3/8/2016,Police- S. Mountain Precinct 400,Police Vehicle,Rear End,"2,559.12",0.00,"3,335.39"
15-0466-001,10/26/2015,F,12/4/2015,Pub Wks- Solid Waste Field Services East,Operations,Damage to Property/Injury to Persons,246.00,0.00,246.00
15-0467-001,10/29/2015,F,12/3/2015,Parks- South Division,Premises,Maint. Building/Premises,183.93,0.00,0.00
15-0468-001,9/4/2015,F,3/18/2016,Fire Battalion 5,Fire/EMS Operations,Improper Medical Care,"7,000.00",0.00,0.00
15-0469-001,11/5/2015,F,1/20/2016,Water Distrib - Corona Yard,Operations,Damage to Property/Injury to Persons,"13,147.36",0.00,0.00
15-0472-001,8/28/2015,F,12/1/2015,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,"250,000.00",0.00,0.00
15-0473-001,8/17/2015,F,12/2/2015,Pub Wks- Downtown-Metro Facil Mgt/Parkin,Employment,Employment Discrimination,,0.00,0.00
15-0475-001,11/23/2015,F,12/3/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,,0.00,0.00
15-0475-002,11/23/2015,F,2/8/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,459.89,0.00,459.89
15-0476-002,10/20/2015,F,12/11/2015,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Light Truck,Backing,"2,233.83",0.00,0.00
15-0477-001,8/24/2015,F,12/21/2015,Street- Southwest Maint Dist,Operations,Pot Hole,583.64,0.00,583.64
15-0478-001,11/13/2015,F,12/10/2015,Water Distrib - Cave Creek Yard,Operations,Water Main Break,312.00,0.00,312.00
15-0479-001,8/27/2015,F,12/8/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"6,260.82",0.00,0.00
15-0480-001,11/12/2015,F,1/11/2016,Street- Southwest Maint Dist,Operations,Pot Hole,262.95,0.00,262.95
15-0481-001,9/16/2015,F,12/14/2015,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Operations,"Care, Custody, Control",350.00,0.00,0.00
15-0482-001,10/28/2015,F,12/4/2015,Unknown Dept/Temporary Use Only,Other,Other,250.00,0.00,0.00
15-0483-001,11/15/2015,F,12/17/2015,Water Distrib - Corona Yard,Operations,Damage by Mobile Equipment,264.23,0.00,264.23
15-0484-001,11/7/2015,F,12/29/2015,Pub Wks- Solid Waste Field Services Sout,Operations,Damage by Mobile Equipment,650.00,0.00,0.00
15-0486-001,10/21/2015,F,1/27/2016,Pub Wks- Solid Waste Field Services Sout,Operations,Damage by Mobile Equipment,664.00,0.00,0.00
15-0487-001,8/25/2015,F,10/4/2017,Police- Squaw Peak Precinct 700,Employment,Sex Discrimination,,"37,000.00",0.00
15-0488-001,11/19/2015,F,12/31/2015,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,760.00,0.00,0.00
15-0489-001,11/23/2015,F,1/7/2016,Pub Wks- Solid Waste Field Services Nort,Operations,Damage to Property/Injury to Persons,39.98,0.00,0.00
15-0490-001,11/10/2015,F,12/23/2015,WSD- Wtr Customer Svcs/Meter Shop,Operations,Change Meter,"5,909.87",0.00,0.00
15-0492-001,11/14/2015,F,1/12/2016,Fire- Admin/EMS/CAD-Alarm/Safety,EMS/Ambulance,Turning,"2,351.38",0.00,"2,351.38"
15-0493-001,11/21/2015,F,2/19/2016,Water Distrib - Reservoir Yard,Operations,Pot Hole,"2,842.72",0.00,"1,898.31"
15-0496-001,7/30/2015,F,1/21/2016,Aviation-Admin/Acctg/Personnel/Bus & Pro,Bus 21-75,Failure to Yield,"1,248.77",0.00,0.00
15-0496-002,7/30/2015,F,1/21/2016,Aviation-Admin/Acctg/Personnel/Bus & Pro,Bus 21-75,Failure to Yield,"40,000.00",0.00,0.00
15-0497-001,10/27/2015,F,2/8/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,731.05,0.00,0.00
15-0498-001,11/23/2015,F,12/28/2015,Street- Central Maintenance Dist,Light Truck,Falling Load/Rock,40.00,0.00,40.00
15-0500-001,11/20/2015,F,1/28/2016,NSD- Neighborhood Preservation,Light Truck,Struck Fixed Object,"2,399.40",0.00,"1,375.00"
15-0501-001,9/29/2015,F,1/19/2016,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"1,311.88",0.00,"1,311.88"
15-0501-002,10/16/2015,F,6/8/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Rear End,"3,400.00",0.00,"2,889.45"
15-0502-001,10/20/2015,F,12/17/2015,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","2,162.15",0.00,0.00
15-0503-001,12/2/2015,F,2/18/2016,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,"3,000.00",0.00,0.00
15-0504-001,11/30/2015,F,2/8/2016,Street- Southwest Maint Dist,Operations,Pot Hole,650.00,0.00,0.00
15-0505-001,8/31/2015,F,12/17/2015,Convention Center/Symphony Hall/Theaters,Premises,Maint. Building/Premises,"1,430.00",0.00,"1,430.00"
15-0506-001,12/9/2015,F,7/25/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Rear End,"20,500.00",200.00,"10,144.83"
15-0506-002,12/9/2015,F,7/25/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Rear End,930.00,310.00,"2,083.41"
15-0507-001,11/30/2015,F,1/14/2016,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Damage to Property/Injury to Persons,858.34,0.00,0.00
15-0509-001,11/22/2015,F,1/7/2016,Street- Southeast Maint Dist,Operations,Pot Hole,"1,000.00",0.00,"1,000.00"
15-0510-001,11/30/2015,F,6/8/2017,Water Distrib - Corona Yard,Light Truck,Rear End,"6,700.00","2,500.00",0.00
15-0510-002,11/30/2015,F,6/8/2017,Water Distrib - Corona Yard,Light Truck,Rear End,"3,252.77",0.00,"3,252.77"
15-0511-001,7/31/2015,F,4/14/2016,Parks- South Division,Operations,Damage to Property/Injury to Persons,"1,440.00",0.00,800.00
15-0511-002,7/31/2015,F,4/14/2016,Parks- South Division,Operations,Damage to Property/Injury to Persons,"1,380.00",0.00,800.00
15-0512-001,10/29/2015,F,1/14/2016,Golf - All Golf Courses/Pros/Golf Ball Hits,Premises,Golf Course Related,297.14,0.00,0.00
15-0513-001,12/7/2015,F,1/14/2016,Street- Southwest Maint Dist,Operations,Pot Hole,740.00,0.00,0.00
15-0514-001,11/1/2015,F,12/30/2015,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,25.00,0.00,26.97
15-0515-001,7/4/2015,F,12/18/2015,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Premises,Swimming Related,"3,850.81","3,700.00",0.00
15-0516-001,12/7/2015,F,12/29/2015,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Mechanical Failure,"3,949.00",0.00,0.00
15-0518-001,8/21/2015,F,12/30/2015,Pub Wks- Solid Waste Field Services Sout,Medium/Heavy,Struck Fixed Object,"1,875.86",0.00,425.86
15-0522-001,10/12/2015,F,2/2/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,250.00,0.00,250.00
15-0523-001,9/26/2015,F,1/6/2016,Street- Southwest Maint Dist,Operations,Pot Hole,204.62,0.00,204.62
15-0524-001,7/17/2015,F,2/2/2016,Police - Estrella Mountain Precinct 300,Law Enforcement,False Arrest,"250,000.00",0.00,0.00
15-0527-001,10/20/2015,F,1/26/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"3,000.00",0.00,560.00
15-0528-001,10/16/2015,F,12/29/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"1,580.93",0.00,0.00
15-0530-001,11/21/2015,F,1/8/2016,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",700.00,0.00,0.00
15-0532-001,12/11/2015,F,1/7/2016,Street- North Maint Dist,Operations,Debris/Object in Road,204.69,0.00,0.00
15-0532-002,12/11/2015,F,1/7/2016,Street- North Maint Dist,Operations,Debris/Object in Road,137.50,0.00,0.00
15-0532-003,12/11/2015,F,1/7/2016,Street- North Maint Dist,Operations,Debris/Object in Road,690.09,0.00,0.00
15-0532-004,12/11/2015,F,1/7/2016,Street- North Maint Dist,Operations,Debris/Object in Road,"2,066.54",0.00,0.00
15-0532-005,12/13/2015,F,1/7/2016,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",308.34,0.00,0.00
15-0532-006,12/11/2015,F,1/13/2016,Street- North Maint Dist,Operations,Pot Hole,"25,000.00",0.00,0.00
15-0532-007,12/11/2015,F,1/21/2016,Street- North Maint Dist,Operations,Pot Hole,"1,334.82",0.00,0.00
15-0533-001,7/9/2015,F,1/14/2016,Police- Cactus Park Precinct 900,Police Vehicle,Push/Tow Vehicle,"1,020.49",0.00,"1,020.49"
15-0534-001,11/12/2015,F,3/2/2016,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,442.47",0.00,0.00
15-0535-001,7/29/2015,F,2/19/2016,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,995.00,0.00,600.00
15-0536-001,8/4/2015,F,12/30/2015,Police- Squaw Peak Precinct 700,Police Vehicle,Backing,"1,245.93",0.00,"1,245.93"
15-0537-001,10/26/2015,F,1/6/2016,Fire-Fire Prevention/Resource Mgt/Haz Ma,Van 0-9 Passenger,Struck Fixed Object,"1,243.02",0.00,"1,243.02"
15-0538-001,8/27/2015,F,2/8/2016,Police- S. Mountain Precinct 400,Law Enforcement,Excessive Force,"25,900.00",0.00,0.00
15-0539-001,12/22/2015,F,1/29/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"2,000.00",0.00,"2,200.00"
15-0541-001,8/4/2015,F,8/10/2016,Police- Central City Precinct 500,Law Enforcement,False Arrest,"30,000.00",0.00,0.00
15-0544-001,11/30/2015,F,1/28/2016,Water Distrib - Reservoir Yard,Light Truck,Main/Vehicle/Int,800.00,0.00,800.00
15-0545-001,12/18/2015,F,1/15/2016,Street- North Maint Dist,Operations,Pot Hole,"4,100.00",0.00,0.00
15-0546-001,11/23/2015,F,1/5/2016,Street- Southeast Maint Dist,Operations,Construction Area,200.00,0.00,0.00
15-0547-001,10/22/2015,F,1/14/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,350.00,0.00,350.00
15-0548-001,12/15/2015,F,12/31/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,900.00,0.00,900.00
15-0551-001,11/13/2015,F,1/11/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Struck Fixed Object,"6,808.29",0.00,"6,808.29"
15-0557-001,11/19/2015,F,2/4/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"1,799.71",0.00,0.00
15-0557-002,11/19/2015,F,4/21/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"1,799.71",0.00,0.00
15-0558-001,7/19/2015,F,1/5/2016,Transit- Phoenix Transit-Contract,Bus 21-75,BUS-Failure to Stop/Fare,"50,000.00",0.00,0.00
15-0558-002,7/19/2015,F,1/5/2016,Transit- Phoenix Transit-Contract,Bus 21-75,BUS-Failure to Stop/Fare,"17,500.00",0.00,0.00
15-0559-001,12/4/2015,F,1/6/2016,Police- Central City Precinct 500,Police Vehicle,Backing,"1,323.17",0.00,"1,157.82"
15-0560-001,12/23/2015,F,1/26/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Falling Load/Rock,230.00,0.00,225.00
15-0561-001,1/2/2016,F,11/28/2016,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"17,707.59"
15-0562-001,12/16/2015,F,1/19/2016,Water Distrib - Reservoir Yard,Operations,Water Hammer,136.00,0.00,136.00
15-0563-001,11/29/2015,F,1/12/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"6,204.00",0.00,0.00
15-0564-001,12/11/2015,F,1/14/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,97.00,0.00,97.00
15-0565-001,8/27/2015,F,9/14/2016,Police - Estrella Mountain Precinct 300,Police Vehicle,Failure to Yield,"15,393.59",0.00,0.00
15-0565-002,8/27/2015,F,9/19/2016,Police - Estrella Mountain Precinct 300,Police Vehicle,Failure to Yield,"25,000.00",0.00,0.00
15-0565-003,8/27/2015,F,10/11/2016,Police - Estrella Mountain Precinct 300,Police Vehicle,Failure to Yield,"3,073.60",0.00,0.00
15-0565-004,8/27/2015,F,6/23/2016,Police - Estrella Mountain Precinct 300,Police Vehicle,Failure to Yield,"30,000.00","6,000.00",0.00
15-0566-001,12/5/2015,F,1/21/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,600.00,0.00,600.00
15-0568-001,10/5/2015,F,2/17/2016,Police- Central City Precinct 500,Law Enforcement,Damage to Property,"6,000.00",0.00,0.00
15-0569-001,12/15/2015,F,2/18/2016,Street- Southwest Maint Dist,Operations,Negligent Barricading,700.00,0.00,"1,281.00"
15-0570-001,12/22/2015,F,1/15/2016,Water Distrib - Cave Creek Yard,Operations,Change Meter,107.27,0.00,0.00
15-0571-001,7/31/2015,F,5/16/2016,Pub Wks-Sol Waste Disposl/Landfl/Transfe,Operations,Other,"2,899.80",0.00,0.00
15-0572-001,1/2/2016,F,2/4/2016,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,400.00,0.00,400.00
15-0574-001,12/27/2015,F,1/22/2016,Street- Southeast Maint Dist,Operations,Pot Hole,426.37,0.00,0.00
15-0576-001,12/4/2015,F,1/15/2016,Street- Southeast Maint Dist,Operations,Pot Hole,"1,000.00",0.00,0.00
15-0577-001,12/4/2015,F,1/27/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"3,048.21",0.00,"4,181.49"
15-0577-002,12/4/2015,F,9/19/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Rear End,"15,500.00","7,500.00",0.00
15-0577-003,12/4/2015,F,9/19/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Rear End,"16,000.00","7,500.00",0.00
15-0578-001,12/21/2015,F,1/26/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,100.00,0.00,60.00
15-0580-001,1/2/2016,F,1/14/2016,Street- North Maint Dist,Operations,Pot Hole,924.27,0.00,0.00
15-0581-001,1/11/2016,F,5/17/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"1,500.00",0.00,515.94
15-0584-001,11/22/2015,F,1/13/2016,Street- North Maint Dist,Operations,Construction Area,"7,090.49",0.00,0.00
15-0585-001,7/18/2015,F,11/14/2018,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. of Equipment,"500,000.00",0.00,0.00
15-0586-001,1/4/2016,F,4/19/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"2,000.00",0.00,0.00
15-0587-001,11/16/2015,F,1/28/2016,Street- Southwest Maint Dist,Operations,Pot Hole,371.24,0.00,0.00
15-0588-001,8/31/2015,F,1/14/2016,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Premises,Maint. Building/Premises,35.00,0.00,35.00
15-0589-001,12/16/2015,F,2/4/2016,Water Distrib - Morten Yard,Operations,Excavation Related,250.00,0.00,220.00
15-0590-001,11/11/2015,F,8/19/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,429.00,0.00,0.00
15-0591-001,12/7/2015,F,2/22/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,881.00,0.00,0.00
15-0592-001,12/17/2015,F,2/3/2016,Non-City Claim,Non-City,Non-City Claim,"20,000.00",0.00,0.00
15-0593-001,1/7/2016,F,2/9/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"1,500.00",0.00,0.00
15-0594-001,12/16/2015,F,2/1/2016,Fire-Fire Prevention/Resource Mgt/Haz Ma,EMS/Ambulance,Turning,"12,777.62",0.00,"3,600.00"
15-0595-001,1/12/2016,F,2/26/2016,Water Distrib - Reservoir Yard,Operations,Change Meter,500.00,0.00,0.00
15-0596-001,1/13/2016,F,6/8/2016,Water Distrib - Corona Yard,Operations,Water Main Break,"2,500.00",0.00,501.15
15-0596-002,1/13/2016,F,9/27/2016,Water Distrib - Corona Yard,Operations,Water Main Break,"1,500.00",0.00,950.00
15-0597-001,11/17/2015,F,2/2/2016,Street- Southeast Maint Dist,Operations,Pot Hole,"2,427.68",0.00,0.00
15-0598-001,12/29/2015,F,2/2/2016,Water Distrib - Cave Creek Yard,Operations,Change Meter,188.40,0.00,188.40
15-0599-001,11/15/2015,F,2/22/2016,Water Distrib - Reservoir Yard,Operations,Change Meter,"5,465.58",0.00,"4,099.04"
15-0600-001,12/18/2015,F,2/29/2016,Street- Southwest Maint Dist,Operations,Pot Hole,390.00,0.00,0.00
15-0601-001,10/17/2015,F,1/28/2016,Street- Southwest Maint Dist,Operations,Negligent Barricading,100.00,0.00,0.00
15-0602-001,12/26/2015,F,1/21/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,900.00,0.00,831.48
15-0603-001,12/30/2015,F,2/3/2016,Street- Design and Construction Mgt,Operations,Pot Hole,"1,761.43",0.00,0.00
15-0604-001,12/1/2015,F,3/3/2016,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,"1,511.52",0.00,0.00
15-0605-001,1/7/2016,F,10/25/2018,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Rear End,"60,000.00","22,150.00","2,849.66"
15-0606-001,12/28/2015,F,3/22/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Rear End,"1,801.93",0.00,"3,167.39"
15-0607-001,1/15/2016,F,1/26/2016,Golf - All Golf Courses/Pros/Golf Ball Hits,Premises,Golf Course Related,"1,082.12",0.00,0.00
15-0608-001,10/4/2015,F,1/4/2018,Police- Cactus Park Precinct 900,Police Vehicle,U-Turn,"3,961.21",0.00,"3,168.96"
15-0608-002,10/4/2015,F,8/30/2016,Police- Cactus Park Precinct 900,Police Vehicle,U-Turn,"60,000.00","20,000.00",0.00
